Seed,Attempts,Decoder Failures,Failure Count,FRR,Invalid Format,Latency Max (ns),Latency Mean (ns),Mean BER 63,Success Count,Success Rate,,Attempt Total,Success Count,Success Rate,Failure Count,FRR,Decoder Failures,Invalid Format,Max Latency (ns),Mean Latency (ns)
1111,600,5,5,0.833%,0,2289582900,5030641.833,0.031481481,595,99.167%,,12000,11805,98.375%,195,1.625%,186,7,2390163000,4865066.308
1122,600,6,6,1.000%,0,2257170900,4626970.833,0.03005291,594,99.000%,,,,,,,,,,
1234,600,1,1,0.167%,0,2310689700,4851703.167,0.023994709,599,99.833%,,,,,,,,,,
2121,600,11,11,1.833%,0,2263231700,4866468.667,0.030582011,589,98.167%,,,,,,,,,,
2222,600,3,4,0.667%,0,230472810,4937382.333,0.027936508,596,99.333%,,,,,,,,,,
2391,600,11,13,2.167%,2,2261815700,5196657.333,0.034312169,587,97.833%,,,,,,,,,,
3232,600,8,8,1.333%,0,2248382700,4578262.833,0.029312169,592,98.667%,,,,,,,,,,
3333,600,9,10,1.667%,1,2325350800,5083355,0.03531746,590,98.333%,,,,,,,,,,
4321,600,3,3,0.500%,0,2349126300,5171605.167,0.030767196,597,99.500%,,,,,,,,,,
4433,600,6,7,1.167%,1,2242170800,4405759.333,0.022328042,593,98.833%,,,,,,,,,,
4444,600,14,15,2.500%,1,2330906500,4997399.5,0.032857143,585,97.500%,,,,,,,,,,
5426,600,14,14,2.333%,0,2263480800,4651282.167,0.033095238,586,97.667%,,,,,,,,,,
5555,600,9,9,1.500%,0,2222857600,4618256.5,0.034285714,591,98.500%,,,,,,,,,,
6543,600,12,14,2.333%,1,2207672800,4543509.833,0.034338624,586,97.667%,,,,,,,,,,
6666,600,10,10,1.667%,0,2193240700,4460481.5,0.030449735,590,98.333%,,,,,,,,,,
7654,600,15,15,2.500%,0,2355200300,5208134.5,0.036957672,585,97.500%,,,,,,,,,,
7777,600,23,23,3.833%,0,2244021000,4895009.167,0.042645503,577,96.167%,,,,,,,,,,
8231,600,4,4,0.667%,0,2390163000,5004186.833,0.034126984,596,99.333%,,,,,,,,,,
8888,600,15,16,2.667%,1,2348701000,5247462,0.032645503,584,97.333%,,,,,,,,,,
9999,600,7,7,1.167%,0,2259748100,4926797.667,0.031931217,593,98.833%,,,,,,,,,,
